objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Almighty","382158","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","147723307","5.53769","7.7","2.6667","15314","90","thing","Almighty","1","4","90","90","60","2027","1,2,3,4","4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ananda","428577","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","123891593","5.55798","6.73864","1.3333","12551","261","thing","Ananda","2","4","45","45","30","2024","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Around the World in 80 Days","419454","0","3","0","1","0","0","0","0","0","0","0","3","Spiel 24","","","","","123003015","5.58249","6.93664","2","10564","312","thing","Around the World in 80 Days","2","4","30","30","30","2024","1,2,3,4","2,3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Arribada","465889","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149226329","0","7.55556","0","0","21","thing","Arribada","2","4","45","45","30","2026","","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ashes & Amber","450286","0","0","0","0","0","0","0","0","0","0","1","2","Spiel25, moet nog uitkomen.","","","","","137823853","0","7.3913","3","0","14","thing","Ashes & Amber","1","4","160","160","40","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Avalon: The Riven Veil","402276","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","123708097","5.97007","8.6886","3.6","3401","1527","thing","Avalon: The Riven Veil","2","4","120","120","90","2026","2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","2026-08-18","Kickstarter","","","","","","","",""
"Babylon","418354","0","4","0","1","0","0","0","0","0","0","0","3","Spiel '24","","","","","123000252","5.90912","7.09726","1.8529","3839","1847","thing","Babylon","2","4","60","60","40","2024","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bardwood Grove","344925","0","0","0","0","0","0","0","0","0","0","1","2","Spiel 24","","","","","123003512","5.8461","7.2658","3.2647","4380","2136","thing","Bardwood Grove","1","4","90","90","60","2024","1,2,3","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"De Betoverde Torens","355483","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","112103982","6.83841","7.32293","1.5946","714","13447","thing","Wandering Towers","1","6","30","30","30","2023","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HOT Games","Dutch","2023","Dutch edition"
"Biome","382549","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","111995444","5.94291","7.47128","2.5897","3577","1992","thing","Biome","1","4","90","90","60","2024","2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Lioness Games","English; German","2024","English/German edition"
"Biome","382549","0","7","0","0","0","0","0","0","0","0","0","3","","","","","","111995446","5.94291","7.47128","2.5897","3577","1992","thing","Biome","1","4","90","90","60","2024","2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Lioness Games","English; German","2024","English/German edition"
"Block and Key","311930","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","80317261","5.91936","6.99155","1.75","3749","2641","thing","Block and Key","1","4","40","40","20","2022","1,2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Inside Up Games","English","2022","English edition"
"Blueprints of Mad King Ludwig","376610","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","104264958","5.88881","7.3432","2.8182","4003","1943","thing","Blueprints of Mad King Ludwig","1","5","60","60","60","2024","1,2,3,4,5","4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Boblin's Rebellion","370399","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","124546719","5.54807","7.16197","2.5","13718","320","thing","Boblin's Rebellion","1","4","40","40","30","2024","1,2,3,4","1","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Borealis: Arctic Expeditions","448116","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149373339","5.75585","7.32304","2.4167","5429","829","thing","Borealis: Arctic Expeditions","2","4","45","45","45","2026","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Boss Monster 2: The Next Level","174973","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68457620","6.1672","6.70296","1.8444","2377","13949","thing","Boss Monster 2: The Next Level","2","4","30","30","20","2015","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Brotherwise Games","English","2015","English standard edition"
"Boss Monster: The Dungeon Building Card Game","131835","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68457598","6.07685","6.26846","1.8469","2804","40225","thing","Boss Monster: The Dungeon Building Card Game","2","4","30","30","30","2016","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Brotherwise Games","English","2016","English second edition, fifth printing"
"Bunny Kingdom","184921","0","14","0","1","0","0","0","0","0","0","0","2","","","","","","99516307","7.10361","7.40458","2.2997","393","21675","thing","Bunny Kingdom","2","4","60","60","40","2020","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","47.5","EUR","","","2022-11-06","Spellenspektakel","","","","","IELLO","English","2020","English edition 2020"
"Bunny Kingdom: Bunny Express","373425","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112103861","5.58102","7.12127","1.75","0","1133","thing","Bunny Kingdom: Bunny Express","2","4","60","60","40","2023","3,4","4","","","","","","","","expansion","","","","","","","","","","","","IELLO","English","2023","English edition"
"Bunny Kingdom: In the Sky","264396","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","106016343","6.22553","7.51081","2.913","0","5708","thing","Bunny Kingdom: In the Sky","2","5","60","60","40","2019","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne","822","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458186","7.29914","7.41674","1.8839","240","226875","thing","Carcassonne","2","5","45","45","30","2005","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","999 Games; Hans im Glück","Dutch","2005","Dutch edition 2005"
"Carcassonne Overzee","16216","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","92478693","5.96301","6.47913","1.9367","3451","4391","thing","Carcassonne: The Discovery","2","5","45","45","30","2005","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","999 Games; Hans im Glück","Dutch","2005","Dutch edition"
"Carcassonne: Cult, Siege & Creativity","35666","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458224","5.84289","6.76231","1.8868","0","2940","thing","Carcassonne: Cult, Siege & Creativity","2","6","60","60","60","2008","2,3,4,5","2,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Hans im Glück; Rio Grande Games","English","2008","English edition"
"Carcassonne: De Draak, de Fee en de Jonkvrouw","15158","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458263","6.51699","6.82347","1.9917","0","29841","thing","Carcassonne: Dragon & Fairy","2","6","60","60","60","2005","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","999 Games; Hans im Glück","Dutch","2005","Dutch edition 2005"
"Carcassonne: De Rivier","2591","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458207","6.71689","7.04238","1.6858","0","23844","thing","Carcassonne: The River","2","5","45","45","30","2001","2,3,4,5","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","999 Games","Dutch","2001","999 Games Dutch edition"
"Carcassonne: De Rivier II","18836","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458212","6.57043","7.21688","1.6926","0","10339","thing","Carcassonne: The River II","2","6","60","60","60","2005","2,3,4,5,6","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","999 Games","Dutch","2005","Dutch edition"
"Carcassonne: Jagers en Verzamelaars","4390","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458192","6.84735","7.13096","1.9223","696","19597","thing","Carcassonne: Hunters and Gatherers","2","5","40","40","35","2020","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","999 Games","Dutch","2020","Dutch edition 2020"
"Carcassonne: The Count of Carcassonne","12903","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458208","5.74732","5.96891","2.0059","0","9743","thing","Carcassonne: The Count of Carcassonne","2","6","60","60","60","2015","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Hans im Glück","English","2015","English One-Tile edition"
"Carcassonne: Uitbreiding 4 – De Toren","21385","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458215","6.24804","6.60911","2.163","0","20403","thing","Carcassonne: Towers & Thieves","2","6","60","60","60","2017","2,3,4,5","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","999 Games","Dutch","2017","999 Dutch edition"
"Cardcassonne","58798","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458812","5.77605","6.30682","1.7396","5130","2793","thing","Cardcassonne","2","5","45","45","30","2010","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","999 Games; Hans im Glück","Dutch","2010","Dutch edition"
"Carla Caramel","351937","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","95956482","5.5339","6.35","1","16038","231","thing","Carla Caramel","1","6","25","25","10","2022","1,2,3,4","1,2","3–6","No necessary in-game text","","","","","","standalone","","15","EUR","","","","","","","","","LOKI","Dutch; English; French; German; Italian; Spanish","2022","EN/FR/GE/IT/NL/SP edition"
"Cartographers Heroes","315767","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","100060707","7.04362","7.69235","1.9823","462","16949","thing","Cartographers Heroes","1","100","45","45","30","2021","1,2,3,4,5,6,7,8,9,10","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","SecretSanta 2022 Gift","","","","","",""
"Cartographers: Een Roll Playing Verhaal","263918","0","14","0","1","0","0","0","0","0","0","0","3","","","","","","92478696","7.38561","7.54873","1.8925","185","63695","thing","Cartographers","1","100","45","45","30","2021","1,2,3,4,5,6,7,8","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Intrafin Games; Thunderworks Games","Dutch","2021","Dutch edition"
"Cartographers: Map Pack 1 – Nebblis: Plane of Flame","319272","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","93739353","6.02213","7.97103","1.75","0","4990","thing","Cartographers: Map Pack 1 – Nebblis: Plane of Flame","1","75","45","45","30","2021","1,3,4,5,6","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Thunderworks Games","English","2021","English edition"
"Cartographers: Map Pack 2 – Affril: Plane of Knowledge","319273","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","93703046","5.95606","7.81377","1.875","0","4864","thing","Cartographers: Map Pack 2 – Affril: Plane of Knowledge","1","75","45","45","30","2021","2,3,4,5,6,7,8,9,10,11","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Thunderworks Games","English","2021","English edition"
"Cartographers: Map Pack 3 – Undercity: Depths of Sabek","319274","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","93770738","5.93027","7.81667","1.8333","0","4702","thing","Cartographers: Map Pack 3 – Undercity: Depths of Sabek","1","75","45","45","30","2021","1,2,3","1","10+","","","","","","","expansion","","","","","","","","","","","","Thunderworks Games","English","2021","English edition"
"Castle Up","378074","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel25","","","","137349191","5.51119","6.46885","2.5","22764","209","thing","Castle Up","2","4","90","90","60","2025","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan","13","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458166","6.90178","7.09034","2.2808","626","244499","thing","Catan","3","4","120","120","60","2016","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","999 Games","Dutch","2016","Dutch edition 2016"
"Cerebria: The Card Game","236304","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","104065441","5.64067","6.36659","2.4444","7876","1559","thing","Cerebria: The Card Game","2","5","30","30","15","2018","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chakra","267378","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","68457506","6.22658","6.85276","1.7667","2152","4571","thing","Chakra","1","4","30","30","30","2019","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Quick Simple Fun Games; BLAM !","English","2019","English edition"
"Chakra: Yin Yang","312950","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","100060674","5.67493","7.56128","2","0","1186","thing","Chakra: Yin Yang","2","4","30","30","30","2020","1,2,3,4","2","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Chandigarh","374134","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","120951755","5.79586","6.9924","2.3529","4903","1151","thing","Chandigarh","2","4","60","60","45","2024","2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chaos Cove","228657","0","0","0","0","0","0","0","1","0","0","0","3","Spiel 24","","","","","122548836","5.5311","6.77458","2.25","16627","192","thing","Chaos Cove","2","4","120","120","120","2024","4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Chemical Overload","355788","0","0","0","0","0","0","0","0","0","0","1","3","","Spiel25","","","","137667843","5.63661","6.80804","2.4","8013","325","thing","Chemical Overload","1","4","75","75","45","2025","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Chompin' Charlie","351466","0","13","0","1","0","0","0","0","0","0","0","3","","","","","","99222546","0","3.83333","1","0","32","thing","Chompin' Charlie","2","4","0","0","0","2021","","","","","","","","","","standalone","","","","","","","","","","","","Goliath Games","English","2021","English edition"
"Cities","402676","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","120950695","6.67488","7.2696","1.8958","965","9697","thing","Cities","2","4","45","45","45","2024","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"City Builder: Ancient World","309207","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","98502337","5.63632","6.79724","2.375","8020","618","thing","City Builder: Ancient World","1","4","60","60","30","2021","1,2,3,4","3","8+","","","","","","","standalone","","46","EUR","","","","","","","","","Inside Up Games","English","2021","English edition"
"Clank!: A Deck-Building Adventure","201808","0","4","0","1","0","0","0","0","0","0","0","2","","","","","","98487309","7.59143","7.75845","2.2333","103","62989","thing","Clank!: A Deck-Building Adventure","2","4","60","60","30","2016","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Dire Wolf; Renegade Game Studios","English","2016","English edition"
"Club of Cthulhu","445785","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149252780","5.51909","8.28655","1.75","19992","89","thing","Club of Cthulhu","2","4","30","30","15","2025","3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Coco Crazy","2792","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","68458306","5.48478","5.41681","1.125","29176","869","thing","Coco Crazy","2","8","20","20","20","1992","3,4,5,6","4","6–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Otto Maier Verlag","Dutch","1992","Dutch first edition"
"Coffee Rush","377061","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","124546741","6.5457","7.08487","1.7935","1227","12979","thing","Coffee Rush","2","4","30","30","30","2023","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Coral","343899","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","98484063","5.72124","6.54444","1.375","5988","1532","thing","Coral","1","4","20","20","10","2022","1,2,3,4","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","2Tomatoes Games; Black Box Adventures","Dutch","2022","Dutch edition"
"Covenant","429863","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","137777702","6.42617","7.67119","3.713","1527","3746","thing","Covenant","1","4","100","100","100","2025","1,2,3,4","2","14+","No necessary in-game text","","","","","","standalone","","60","EUR","","","2025-10-24","Spiel25","","","","","","","",""
"Crispy Critters","447683","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel 26?","","","","136083417","0","0","1","0","0","thing","Crispy Critters","2","4","25","25","15","2026","2,3,4","2,3,4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"CuBirds","245476","0","12","0","1","0","0","0","0","0","0","0","3","","","","","","80317291","6.56674","6.89598","1.3084","1184","13580","thing","CuBirds","2","5","20","20","20","2018","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","MS Edizioni","Italian","2018","Italian edition"
"Cubitos","298069","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","92478684","6.9897","7.35404","2.1667","519","18111","thing","Cubitos","2","4","60","60","30","2021","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","White Goblin Games","Dutch","2021","Dutch edition"
"The Dawn of Pangaea","449854","0","0","0","0","0","0","0","1","0","0","0","3","","Spiel26","","","","149187635","0","8.46429","0","0","25","thing","The Dawn of Pangaea","1","4","80","80","40","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Diamant","15512","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","120951590","6.71047","6.84909","1.1133","901","33667","thing","Diamant","3","8","40","40","20","2005","3,4,5,6,7,8","6,7,8","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Forge","194594","0","4","0","1","0","0","0","0","0","0","0","2","","","","","","80940036","7.00459","7.20965","1.9746","508","39301","thing","Dice Forge","2","4","45","45","45","2017","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","2023-12-25","Secret Santa 2023","","","","","Libellud","English","2017","English edition 2017"
"Dice Pool Party","445045","0","2","0","0","0","0","0","0","0","0","0","3","","","","","","139452534","5.67347","6.67453","1.1","6988","937","thing","Dice Pool Party","2","8","20","20","10","2025","2,3,4,5","2,4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Deep Print Games; Pegasus Spiele","English","2025","English edition"
"Dinosaur Island: Rawr 'n Write","318009","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","86205485","6.89292","7.64705","2.8512","635","11651","thing","Dinosaur Island: Rawr 'n Write","1","4","45","45","30","2021","1,2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Pandasaurus Games","English","2021","English edition"
"Dodo","295490","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","101523815","5.73766","6.50565","1.0455","5694","1891","thing","Dodo","2","4","10","10","10","2022","2,3,4","3","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","999 Games","Dutch","2022","Dutch edition"
"Dog Lover","344839","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","111534697","5.95069","6.69583","1.8438","3526","2952","thing","Dog Lover","2","4","30","30","30","2022","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","0","EUR","","","2023-10-06","Spiel 23","","Gekregen als tegemoetkoming van missende delen bij shake that city","","","Alderac Entertainment Group","English","2022","English edition"
"Draftosaurus","264055","0","12","0","1","0","0","0","0","0","0","0","2","","","","","","99089876","6.85359","7.07955","1.2418","683","28199","thing","Draftosaurus","2","5","15","15","15","2019","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","20","EUR","","","2022-11-06","Spellenspektakel","","","","","Ankama","English","2019","English edition"
"Draftosaurus: Aerial Show","320778","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","100060589","5.98902","7.05162","1.3571","0","6092","thing","Draftosaurus: Aerial Show","2","5","20","20","15","2020","2,3,4,5","4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Draftosaurus: Goodie Tile","318382","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","100060597","5.59711","7.17622","1.2","0","833","thing","Draftosaurus: Goodie Tile","2","5","15","15","15","2020","2,3,4,5","2,4","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Draftosaurus: Marina","320777","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","100060593","6.09277","7.2547","1.45","0","6400","thing","Draftosaurus: Marina","2","5","20","20","15","2020","2,3,4,5","4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Dragon Castle","232219","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","63492597","6.7078","7.09399","1.9875","910","12252","thing","Dragon Castle","1","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Horrible Guild","English; German; Italian","2017","Multilingual edition"
"Dragon Scrolls","449349","0","1","0","0","0","0","0","0","0","1","0","2","","Spiel25","","","","134372561","0","7.5381","1","0","23","thing","Dragon Scrolls","2","5","10","10","5","2026","","","","","","","","","","standalone","","","","","","","Kickstarter","","","","","","","",""
"Dreadful Meadows","350064","0","2","0","1","0","0","0","0","0","0","0","1","Kickstarter 11-2022 -> Wachten op retail","","","","","99375865","5.89558","7.32531","2.4667","3953","1763","thing","Dreadful Meadows","1","4","60","60","30","2023","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
